Date,BETFI,BETI,BETNG,CACT,EURIBOR3MD=,EURRON=,GDAXI,RON=,RORON3MD=,ROTX,SPBDUB3T,SPX,STOXX50,VIX,MIWD0EN00PUS ,DJUSEN ,IPC,Rata_Somaj
7/7/2014,6966.21,29892.16,698.69,3385.25,0.203,4.3838,9906.07,3.2226,1.79,12932.34,215.8782,1977.65,3048.83,11.33,311.92,843.03,0.928709677,8.258064516
7/8/2014,6912.66,29783.69,689.91,3335.03,0.203,4.3844,9772.67,3.2198,1.72,12788.88,215.8785,1963.71,3013.09,11.98,310.77,841.68,0.92516129,8.267741935
7/9/2014,6853.19,29757.91,682.29,3345.25,0.203,4.3895,9808.2,3.2185,1.67,12719.56,215.8781,1972.83,3016.16,11.65,311.9,847.05,0.921612903,8.277419355
7/10/2014,6803.19,29276.31,679.17,3301.98,0.202,4.4018,9659.13,3.2348,1.67,12581.14,215.8785,1964.68,2984.7,12.59,308.91,838.66,0.918064516,8.287096774
7/11/2014,6850.03,29717.76,684.28,3312.93,0.203,4.4164,9666.34,3.242,1.73,12717.71,215.8788,1967.57,2987.33,12.08,307.36,832.05,0.914516129,8.296774194
7/14/2014,6947.65,29825.73,690.26,3339.27,0.203,4.4154,9783.01,3.242,1.71,12902.72,215.8784,1977.1,3012.74,11.82,309.49,839.65,0.903870968,8.325806452
7/15/2014,6933.56,29585.67,688.69,3306.81,0.202,4.4192,9719.41,3.2569,1.68,12850.84,215.8792,1973.28,3002.37,11.96,307.66,835.52,0.900322581,8.335483871
7/16/2014,6955.19,29623.57,693.14,3353.14,0.201,4.4355,9859.27,3.2808,1.67,12931.44,215.8798,1981.57,3039.19,11,311.55,848.49,0.896774194,8.34516129
7/17/2014,6926.23,29702.6,690.99,3317,0.201,4.44,9753.88,3.2828,1.69,12883.95,215.8804,1958.12,3007.1,14.54,307.47,835.16,0.893225806,8.35483871
7/18/2014,6876.04,29464.53,685.79,3328.2,0.202,4.455,9720.02,3.2939,1.7,12780.76,215.8802,1978.22,3007.91,12.06,308.29,838.33,0.889677419,8.364516129
7/21/2014,6870.48,29816.04,684.16,3306.71,0.204,4.4452,9612.05,3.2845,1.69,12753.64,215.8796,1973.63,2994.5,12.81,307.97,839.52,0.879032258,8.393548387
7/22/2014,6896.38,30067.79,689.55,3350.31,0.206,4.442,9734.33,3.2972,1.7,12808.85,215.8793,1983.53,3035.87,12.24,311.23,846.2,0.875483871,8.403225806
7/23/2014,6928.24,30072.38,690.65,3356.82,0.208,4.4153,9753.56,3.2798,1.7,12887.01,215.8801,1987.01,3037.79,11.52,312.79,850.91,0.871935484,8.412903226
7/24/2014,6955.11,30257.81,693.35,3381.36,0.209,4.4022,9794.06,3.27,1.7,12952.1,215.8802,1987.98,3050.27,11.84,313.08,851.56,0.868387097,8.422580645
7/25/2014,6954.88,30216.91,696.94,3325.13,0.209,4.391,9644.01,3.2713,1.7,12979.99,215.8793,1978.34,3025.81,12.69,310.68,845.24,0.86483871,8.432258065
7/28/2014,6895.18,30093.36,690.62,3332.82,0.209,4.384,9598.17,3.2621,1.67,12825.43,215.8791,1978.91,3025.2,12.56,309.71,843.73,0.854193548,8.461290323
7/29/2014,6892.89,30121.15,691.41,3347.94,0.209,4.4003,9653.63,3.2787,1.66,12835.35,215.8794,1969.95,3033.3,13.28,308.45,840.5,0.850645161,8.470967742
7/30/2014,6935.73,30206.43,694.71,3312.36,0.209,4.3995,9593.68,3.2836,1.66,12920.18,215.8795,1970.07,3014.17,13.33,306.07,835.92,0.847096774,8.480645161
7/31/2014,6918.97,30290.52,692.71,3263.28,0.209,4.4245,9407.48,3.3047,1.67,12920.69,215.8815,1930.67,2978.81,16.95,301.01,815.54,0.843548387,8.490322581
8/1/2014,6939.99,30376.34,691.46,3222.8,0.208,4.43,9210.08,3.298,1.66,12938.71,215.8812,1925.15,2948.89,17.03,298.75,809.17,0.84,8.5
8/4/2014,6955.91,30424.02,692.94,3229.02,0.208,4.4294,9154.14,3.298,1.65,12977.17,215.8818,1938.99,2941.09,15.12,301.74,822.36,0.907741935,8.470967742
