Date,AAG.BX,ADS.BX,ALR.BX,ALU.BX,AMAL.BX,ARAX.BX,ARCV.BX,ATB.BX,BAYN.BX,BMWG.BX,BNET.BX,BUCU.BX,BUCV.BX,CBC.BX,CEON.BX,COMI.BX,CONQ.BX,COTE.BX,COVB.BX,CPHA.BX,DAFR.BX,DAI.BX,DIGI.BX,DTE.BX,EBS.BX,EFO.BX,ELEL.BX,ELGS.BX,FLAO.BX,FP.BX,GAOY.BX,HAI.BX,IARV.BX,IASX.BX,IMP.BX,IPRU.BX,LACT.BX,LCSI.BX,LHA.BX,LIH.BX,MAMA.BX,MCAB.BX,MECE.BX,NCHI.BX,NRF.BX,OIL.BX,PBK.BX,PREB.BX,PRIB.BX,PRSN.BX,REFE.BX,RMAH.BX,RO2P.BX,ROAAB.BX,ROADISS.BX,ROAG.BX,ROALT.BX,ROALW.BX,ROAPP.BX,ROAQ.BX,ROAROBS.BX,ROARTE.BX,ROASC.BX,ROAST.BX,ROBIO.BX,ROBIOW.BX,ROBONA.BX,ROBRD.BX,ROBRK.BX,ROBRNA.BX,ROBVB.BX,ROCAB.BX,ROCC.BX,ROCE.BX,ROCLAIM.BX,ROCMP.BX,ROEL.BX,SIF2.BX,ROFRB.BX,ROHUNT.BX,ROM.BX,ROMAM.BX,ROMILK.BX,ROONE.BX,ROPPL.BX,ROPTR.BX,ROREIT.BX,RORKOT.BX,RORRC.BX,ROSAFE.BX,ROSCD.BX,ROSFG.BX,ROSMTL.BX,ROSNN.BX,ROSNP.BX,ROSTZ.BX,ROTBK.BX,ROTBM.BX,ROTEL.BX,ROTLV.BX,ROWINE.BX,RPH.BX,SIF1.BX,SIF3.BX,SIF4.BX,SIF5.BX,SNG.BX,SNO.BX,STOF.BX,TGN.BX,TRP.BX,TSND.BX,TTS.BX,UARG.BX,VESY.BX,VNC.BX
7/7/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.07808316,,,,,,,,,0.52,,,0.07058349,,,,,8.263142021,0.402326648,,,,23.38,,,,,,,,29.59161439,,,13.03125,,,,,,
7/8/2014,,,,,,,,,,,,,,,,,,48.6248559,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03809008,,,,,,,,,0.5225,,,0.07058349,,,,,8.1334067,0.401310671,,,,22,,,,,,,,29.44537676,,,12.871875,,,,,,
7/9/2014,,,,,,,,,,,,,,,,,,48.53499477,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.998097,,,,,,,,,0.522,,,0.071579963,,,,,8.1833049,0.393944843,,,,21.7,,,,,,,,29.20451478,,,12.69375,,,,,,
7/10/2014,,,,,,,,,,,,,,,,,,48.87447015,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7981316,,,,,,,,,0.502,,,0.071413884,,,,,8.093488139,0.395299478,,,,21.45,,,,,,,,28.80021075,,,12.7375,,,,,,
7/11/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71814544,,,,,,,,,,,,0.07058349,,,,,8.17332526,0.399194054,,,,21.52,,,,,,,,28.90343731,,,12.9375,,,,,,
7/14/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80812987,,,,,,,,,0.52,,,0.070417411,,,,,8.233203101,0.411470435,,,,21.25,,,,,,,,28.8948351,,,12.9375,,,,,,
7/15/2014,,,,,,,,,,,,,,,,,,48.8245473,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84812295,,,,,,,,,0.52,,,0.068922702,,,,,8.283101301,0.410454459,,,,21.2,,,,,,,,28.96365281,,,12.8125,,,,,,
7/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.88811603,,,,,,,,,,,,0.06925486,,,,,8.223223461,0.4115551,,,,21.44,,,,,,,,29.24752585,,,12.96875,,,,,,
7/17/2014,,,,,,,,,,,,,,,,,,46.927479,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84812295,,,,,,,,,0.521,,,0.071247805,,,,,8.213243821,0.410200465,,,,21.3,,,,,,,,29.05827715,,,13.03125,,,,,,
7/18/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.80812987,,,,,,,,,0.53,,,0.071413884,,,,,8.1833049,0.401395336,,,,21.17,,,,,,,,29.24752585,,,12.890625,,,,,,
